frame.number,frame.time_relative,ip.src,ip.dst,udp.srcport,udp.dstport,someip.serviceid,someip.methodid,someip.clientid,someip.sessionid,someip.messagetype,someip.returncode,data
"1","0.000000000","192.168.40.135","192.168.40.134","58423","31000","0x0000ff40","0x00000001","0x00001343","0x00007000","0x00000000","0x00000000",
"2","0.005839000","192.168.40.134","192.168.40.135","31000","58423","0x0000ff40","0x00000001","0x00001343","0x00007000","0x00000080","0x00000000",
"3","0.007150000","192.168.40.135","192.168.40.134","58423","31000","0x0000ff40","0x00000002","0x00001343","0x00007001","0x00000000","0x00000000",
"4","0.012578000","192.168.40.134","192.168.40.135","31000","58423","0x0000ff40","0x00000002","0x00001343","0x00007001","0x00000080","0x00000000",
"5","0.013655000","192.168.40.135","192.168.40.134","58423","31000","0x0000ff40","0x00000003","0x00001343","0x00007002","0x00000000","0x00000000",
"6","0.028889000","192.168.40.134","192.168.40.135","31000","58423","0x0000ff40","0x00000003","0x00001343","0x00007002","0x00000080","0x00000000",
"7","0.030206000","192.168.40.135","192.168.40.134","58423","31000","0x0000ff40","0x00000004","0x00001343","0x00007003","0x00000000","0x00000000",
"8","0.035637000","192.168.40.134","192.168.40.135","31000","58423","0x0000ff40","0x00000004","0x00001343","0x00007003","0x00000080","0x00000000",
"9","0.036688000","192.168.40.135","192.168.40.134","58423","31000","0x0000ff40","0x00000005","0x00001343","0x00007004","0x00000000","0x00000000",
"10","0.042121000","192.168.40.134","192.168.40.135","31000","58423","0x0000ff40","0x00000005","0x00001343","0x00007004","0x00000080","0x00000000",
"11","0.043172000","192.168.40.135","192.168.40.134","58423","31000","0x0000ff40","0x00000006","0x00001343","0x00007005","0x00000000","0x00000000",
"12","0.048587000","192.168.40.134","192.168.40.135","31000","58423","0x0000ff40","0x00000006","0x00001343","0x00007005","0x00000080","0x00000000",
"13","0.049661000","192.168.40.135","192.168.40.134","58423","31000","0x0000ff40","0x00000007","0x00001343","0x00007006","0x00000000","0x00000000",
"14","0.055099000","192.168.40.134","192.168.40.135","31000","58423","0x0000ff40","0x00000007","0x00001343","0x00007006","0x00000080","0x00000000",
"15","0.056220000","192.168.40.135","192.168.40.134","58423","31000","0x0000ff40","0x00000008","0x00001343","0x00007007","0x00000000","0x00000000",
"16","0.061648000","192.168.40.134","192.168.40.135","31000","58423","0x0000ff40","0x00000008","0x00001343","0x00007007","0x00000080","0x00000000",
"17","0.062686000","192.168.40.135","192.168.40.134","58423","31000","0x0000ff40","0x00000009","0x00001343","0x00007008","0x00000000","0x00000000",
"18","0.068123000","192.168.40.134","192.168.40.135","31000","58423","0x0000ff40","0x00000009","0x00001343","0x00007008","0x00000080","0x00000000",
"19","0.069300000","192.168.40.135","192.168.40.134","58423","31000","0x0000ff40","0x0000000a","0x00001343","0x00007009","0x00000000","0x00000000",
"20","0.095419000","192.168.40.134","192.168.40.135","31000","58423","0x0000ff40","0x0000000a","0x00001343","0x00007009","0x00000080","0x00000000",
"21","0.097070000","192.168.40.135","192.168.40.134","58423","31000","0x0000ff40","0x0000000b","0x00001343","0x0000700a","0x00000000","0x00000000",
"22","0.102706000","192.168.40.134","192.168.40.135","31000","58423","0x0000ff40","0x0000000b","0x00001343","0x0000700a","0x00000080","0x00000000",
"23","0.104392000","192.168.40.135","192.168.40.134","58423","31000","0x0000ff40","0x0000000c","0x00001343","0x0000700b","0x00000000","0x00000000",
"24","0.130269000","192.168.40.134","192.168.40.135","31000","58423","0x0000ff40","0x0000000c","0x00001343","0x0000700b","0x00000080","0x00000000",
"25","0.132954000","192.168.40.135","192.168.40.134","58423","31000","0x0000ff40","0x0000000d","0x00001343","0x0000700c","0x00000000","0x00000000",
"26","0.139035000","192.168.40.134","192.168.40.135","31000","58423","0x0000ff40","0x0000000d","0x00001343","0x0000700c","0x00000080","0x00000000",
"27","0.141756000","192.168.40.135","192.168.40.134","58423","31000","0x0000ff40","0x0000000e","0x00001343","0x0000700d","0x00000000","0x00000000",
"28","0.147793000","192.168.40.134","192.168.40.135","31000","58423","0x0000ff40","0x0000000e","0x00001343","0x0000700d","0x00000080","0x00000000",
