method_id,method_name,role,payload_source,payload_label,payload_hex,payload_len,trials,normal_response_count,state_changed_count,non_trivial_state_effect_count,before_payload_distribution,after_payload_distribution,classification
10,setSeatHeatingStatusAttribute,setter,method10_sanity,all_false,0000000700000000000000,11,10,10,10,10,00000000=10,0000000700000000000000=10,reproducible_non_trivial_state_effect
10,setSeatHeatingStatusAttribute,setter,method10_sanity,all_true,0000000701010101010101,11,10,10,10,10,00000000=10,0000000701010101010101=10,reproducible_non_trivial_state_effect
10,setSeatHeatingStatusAttribute,setter,method10_sanity,alternating,0000000700ff00ff00ff00,11,10,10,10,10,00000000=10,0000000700010001000100=10,reproducible_non_trivial_state_effect
10,setSeatHeatingStatusAttribute,setter,method10_sanity,baseline_status,0000000701000100010001,11,10,10,10,10,00000000=10,0000000701000100010001=10,reproducible_non_trivial_state_effect
10,setSeatHeatingStatusAttribute,setter,method10_sanity,invalid_enum_2,0000000702020202020202,11,10,10,10,10,00000000=10,0000000700000000000000=10,reproducible_non_trivial_state_effect
10,setSeatHeatingStatusAttribute,setter,method10_sanity,invalid_enum_ff,00000007ffffffffffffff,11,10,10,10,10,00000000=10,0000000701010101010101=10,reproducible_non_trivial_state_effect
10,setSeatHeatingStatusAttribute,setter,method10_sanity,len_field_one,0000000101000100010001,11,10,10,10,10,00000000=10,0000000101=10,reproducible_non_trivial_state_effect
10,setSeatHeatingStatusAttribute,setter,method10_sanity,long_padding_ff,0000000701000100010001ffffffff,15,10,10,10,10,00000000=10,0000000701000100010001=10,reproducible_non_trivial_state_effect
10,setSeatHeatingStatusAttribute,setter,method10_sanity,long_padding_zero,00000007010001000100010000000000,16,10,10,10,10,00000000=10,0000000701000100010001=10,reproducible_non_trivial_state_effect
12,setSeatHeatingLevelAttribute,setter,method12_sanity,all_one,0000000701010101010101,11,10,10,10,10,00000000=10,0000000701010101010101=10,reproducible_non_trivial_state_effect
12,setSeatHeatingLevelAttribute,setter,method12_sanity,all_three,0000000703030303030303,11,10,10,10,10,00000000=10,0000000703030303030303=10,reproducible_non_trivial_state_effect
12,setSeatHeatingLevelAttribute,setter,method12_sanity,all_two,0000000702020202020202,11,10,10,10,10,00000000=10,0000000702020202020202=10,reproducible_non_trivial_state_effect
12,setSeatHeatingLevelAttribute,setter,method12_sanity,all_zero,0000000700000000000000,11,10,10,10,10,00000000=10,0000000700000000000000=10,reproducible_non_trivial_state_effect
12,setSeatHeatingLevelAttribute,setter,method12_sanity,baseline_level,0000000701020300010203,11,10,10,10,10,00000000=10,0000000701020300010203=10,reproducible_non_trivial_state_effect
12,setSeatHeatingLevelAttribute,setter,method12_sanity,boundary_values,00000007ff7f8000010203,11,10,10,10,10,00000000=10,00000007ff7f8000010203=10,reproducible_non_trivial_state_effect
12,setSeatHeatingLevelAttribute,setter,method12_sanity,len_field_one,0000000101020300010203,11,10,10,10,10,00000000=10,0000000101=10,reproducible_non_trivial_state_effect
12,setSeatHeatingLevelAttribute,setter,method12_sanity,long_padding_ff,0000000701020300010203ffffffff,15,10,10,10,10,00000000=10,0000000701020300010203=10,reproducible_non_trivial_state_effect
12,setSeatHeatingLevelAttribute,setter,method12_sanity,long_padding_zero,000000070102030001020300000000,15,10,10,10,10,00000000=10,0000000701020300010203=10,reproducible_non_trivial_state_effect
14,changeDoorsState,method,method14_sanity,long_one_extra_zero,0101010100,5,10,10,10,10,00000000=10,01010101=10,reproducible_non_trivial_state_effect
14,changeDoorsState,method,method14_sanity,long_padding_ff,01010101ffffffff,8,10,10,10,10,00000000=10,01010101=10,reproducible_non_trivial_state_effect
14,changeDoorsState,method,method14_sanity,long_prefix_zero,00000001010101,7,10,10,10,10,00000000=10,00000001=10,reproducible_non_trivial_state_effect
14,changeDoorsState,method,method14_sanity,mixed_open_close_1,01020102,4,10,10,10,10,00000000=10,01000100=10,reproducible_non_trivial_state_effect
14,changeDoorsState,method,method14_sanity,mixed_open_close_2,02010102,4,10,10,10,10,00000000=10,00010100=10,reproducible_non_trivial_state_effect
14,changeDoorsState,method,method14_sanity,open_all,01010101,4,10,10,10,10,00000000=10,01010101=10,reproducible_non_trivial_state_effect
14,changeDoorsState,method,method14_sanity,open_front_left,01000000,4,10,10,10,10,00000000=10,01000000=10,reproducible_non_trivial_state_effect
14,changeDoorsState,method,method14_sanity,open_front_pair,01010000,4,10,10,10,10,00000000=10,01010000=10,reproducible_non_trivial_state_effect
14,changeDoorsState,method,method14_sanity,open_front_right_and_rear_left,00010100,4,10,10,10,10,00000000=10,00010100=10,reproducible_non_trivial_state_effect
14,changeDoorsState,method,method14_sanity,open_rear_pair,00000101,4,10,10,10,10,00000000=10,00000101=10,reproducible_non_trivial_state_effect
