method_id,hex_method_id,method_name,role,input_type,output_type,paired_getter,state_change_possible,original_client_observed,original_client_count,probe_payload_available,notes
1,0x0001,getConsumptionAttribute,getter,none,Float,,False,True,20,True,"Defined by consumption SomeIpGetterID=1; observed in original PlaygroundClient capture as 10 requests and 10 responses per file."
2,0x0002,getCapacityAttribute,getter,none,UInt8,,False,True,20,True,"Defined by capacity SomeIpGetterID=2; observed in original PlaygroundClient capture as 10 requests and 10 responses per file."
3,0x0003,getVolumeAttribute,getter,none,Float,,False,True,20,True,"Defined by volume SomeIpGetterID=3; observed in original PlaygroundClient capture as 10 requests and 10 responses per file."
4,0x0004,getEngineSpeedAttribute,getter,none,UInt16,,False,True,20,True,"Defined by engineSpeed SomeIpGetterID=4; observed in original PlaygroundClient capture as 10 requests and 10 responses per file."
5,0x0005,getCurrentGearAttribute,getter,none,PlaygroundTypes.Gear,,False,True,20,True,"Defined by currentGear SomeIpGetterID=5; observed in original PlaygroundClient capture as 10 requests and 10 responses per file."
6,0x0006,getIsReverseGearOnAttribute,getter,none,Boolean,,False,True,20,True,"Defined by isReverseGearOn SomeIpGetterID=6; observed in original PlaygroundClient capture as 10 requests and 10 responses per file."
7,0x0007,getDrivePowerTransmissionAttribute,getter,none,PlaygroundTypes.DriveType,,False,True,20,True,"Defined by drivePowerTransmission SomeIpGetterID=7; observed in original PlaygroundClient capture as 10 requests and 10 responses per file."
8,0x0008,getDoorsOpeningStatusAttribute,getter,none,PlaygroundTypes.DoorsStatus,,False,True,20,True,"Defined by doorsOpeningStatus SomeIpGetterID=8; paired observable getter for Method 14 changeDoorsState."
9,0x0009,getSeatHeatingStatusAttribute,getter,none,Boolean[],,False,True,20,True,"Defined by seatHeatingStatus SomeIpGetterID=9; paired observable getter for Method 10."
10,0x000a,setSeatHeatingStatusAttribute,setter,Boolean[],Boolean[],9,True,False,0,True,"Defined by seatHeatingStatus SomeIpSetterID=10; Method 10/Getter 9 baseline validation completed; 1st validation found no non-trivial fuzz candidate."
11,0x000b,getSeatHeatingLevelAttribute,getter,none,UInt8[],,False,True,20,True,"Defined by seatHeatingLevel SomeIpGetterID=11; paired observable getter for Method 12."
12,0x000c,setSeatHeatingLevelAttribute,setter,UInt8[],UInt8[],11,True,False,0,True,"Defined by seatHeatingLevel SomeIpSetterID=12; Method 12/Getter 11 baseline validation completed; 1st validation found no non-trivial fuzz candidate."
13,0x000d,initTirePressureCalibration,method,none,none,,Unknown,False,0,True,"Defined by SomeIpMethodID=13; no clear state-confirming getter identified, so mark as response probe target first."
14,0x000e,changeDoorsState,method,PlaygroundTypes.CarDoorsCommand,none,8,True,False,0,True,"Defined by SomeIpMethodID=14; paired with Getter 8 doorsOpeningStatus; additional probe needed for coverage, baseline payload candidates known."
32769,0x8001,consumption notifier,event,none,Float,1,False,False,0,False,"Defined as SomeIpNotifierID for consumption; event/notifier, excluded from request probe."
32770,0x8002,engineSpeed notifier,event,none,UInt16,4,False,False,0,False,"Defined as SomeIpNotifierID for engineSpeed; event/notifier, excluded from request probe."
32771,0x8003,currentGear notifier,event,none,PlaygroundTypes.Gear,5,False,False,0,False,"Defined as SomeIpNotifierID for currentGear; event/notifier, excluded from request probe."
32772,0x8004,isReverseGearOn notifier,event,none,Boolean,6,False,False,0,False,"Defined as SomeIpNotifierID for isReverseGearOn; event/notifier, excluded from request probe."
32773,0x8005,drivePowerTransmission notifier,event,none,PlaygroundTypes.DriveType,7,False,False,0,False,"Defined as SomeIpNotifierID for drivePowerTransmission; event/notifier, excluded from request probe."
32774,0x8006,doorsOpeningStatus notifier,event,none,PlaygroundTypes.DoorsStatus,8,False,False,0,False,"Defined as SomeIpNotifierID for doorsOpeningStatus; event/notifier, excluded from request probe."
32775,0x8007,seatHeatingStatus notifier,event,none,Boolean[],9,False,False,0,False,"Defined as SomeIpNotifierID for seatHeatingStatus; event/notifier, excluded from request probe."
32776,0x8008,seatHeatingLevel notifier,event,none,UInt8[],11,False,False,0,False,"Defined as SomeIpNotifierID for seatHeatingLevel; event/notifier, excluded from request probe."
32777,0x8009,vehiclePosition,event,none,PlaygroundTypes.StatusGPS,,False,False,0,False,"Defined as SomeIpEventID for vehiclePosition broadcast; event, excluded from request probe."
32778,0x800a,currentTankVolume,event,none,UInt8,3,False,True,10,False,"Defined as SomeIpEventID for currentTankVolume broadcast; observed in original PlaygroundClient capture as notification message type 0x02; excluded from request probe."
