source_file,frame.number,frame.time_relative,ip.src,ip.dst,udp.srcport,udp.dstport,someip.serviceid,someip.methodid,someip.clientid,someip.sessionid,someip.messagetype,someip.returncode,data
data/playground_someip_only.pcapng,"1","0.000000000","192.168.40.135","192.168.40.134","58422","31000","0x0000ff40","0x00000001","0x00001343","0x00000001","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"2","0.005958000","192.168.40.134","192.168.40.135","31000","58422","0x0000ff40","0x00000001","0x00001343","0x00000001","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"3","0.011948000","192.168.40.135","192.168.40.134","58422","31000","0x0000ff40","0x00000002","0x00001343","0x00000002","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"4","0.018081000","192.168.40.134","192.168.40.135","31000","58422","0x0000ff40","0x00000002","0x00001343","0x00000002","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"5","0.023780000","192.168.40.135","192.168.40.134","58422","31000","0x0000ff40","0x00000003","0x00001343","0x00000003","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"6","0.029995000","192.168.40.134","192.168.40.135","31000","58422","0x0000ff40","0x00000003","0x00001343","0x00000003","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"7","0.035608000","192.168.40.135","192.168.40.134","58422","31000","0x0000ff40","0x00000004","0x00001343","0x00000004","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"8","0.041841000","192.168.40.134","192.168.40.135","31000","58422","0x0000ff40","0x00000004","0x00001343","0x00000004","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"9","0.047539000","192.168.40.135","192.168.40.134","58422","31000","0x0000ff40","0x00000005","0x00001343","0x00000005","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"10","0.053618000","192.168.40.134","192.168.40.135","31000","58422","0x0000ff40","0x00000005","0x00001343","0x00000005","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"11","0.059050000","192.168.40.135","192.168.40.134","58422","31000","0x0000ff40","0x00000006","0x00001343","0x00000006","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"12","0.065334000","192.168.40.134","192.168.40.135","31000","58422","0x0000ff40","0x00000006","0x00001343","0x00000006","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"13","0.070773000","192.168.40.135","192.168.40.134","58422","31000","0x0000ff40","0x00000007","0x00001343","0x00000007","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"14","0.076480000","192.168.40.134","192.168.40.135","31000","58422","0x0000ff40","0x00000007","0x00001343","0x00000007","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"15","0.081828000","192.168.40.135","192.168.40.134","58422","31000","0x0000ff40","0x00000008","0x00001343","0x00000008","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"16","0.087547000","192.168.40.134","192.168.40.135","31000","58422","0x0000ff40","0x00000008","0x00001343","0x00000008","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"17","0.092919000","192.168.40.135","192.168.40.134","58422","31000","0x0000ff40","0x00000009","0x00001343","0x00000009","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"18","0.098545000","192.168.40.134","192.168.40.135","31000","58422","0x0000ff40","0x00000009","0x00001343","0x00000009","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"19","0.103937000","192.168.40.135","192.168.40.134","58422","31000","0x0000ff40","0x0000000b","0x00001343","0x0000000a","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"20","0.109557000","192.168.40.134","192.168.40.135","31000","58422","0x0000ff40","0x0000000b","0x00001343","0x0000000a","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"21","0.599426000","192.168.40.134","192.168.40.135","31000","58422","0x0000ff40","0x0000800a","0x00000000","0x0000026c","0x00000002","0x00000000",
data/playground_someip_only.pcapng,"22","2.000322000","192.168.40.135","192.168.40.134","39512","31000","0x0000ff40","0x00000001","0x00001343","0x00000001","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"23","2.006002000","192.168.40.134","192.168.40.135","31000","39512","0x0000ff40","0x00000001","0x00001343","0x00000001","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"24","2.012305000","192.168.40.135","192.168.40.134","39512","31000","0x0000ff40","0x00000002","0x00001343","0x00000002","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"25","2.018075000","192.168.40.134","192.168.40.135","31000","39512","0x0000ff40","0x00000002","0x00001343","0x00000002","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"26","2.023470000","192.168.40.135","192.168.40.134","39512","31000","0x0000ff40","0x00000003","0x00001343","0x00000003","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"27","2.029234000","192.168.40.134","192.168.40.135","31000","39512","0x0000ff40","0x00000003","0x00001343","0x00000003","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"28","2.035069000","192.168.40.135","192.168.40.134","39512","31000","0x0000ff40","0x00000004","0x00001343","0x00000004","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"29","2.040827000","192.168.40.134","192.168.40.135","31000","39512","0x0000ff40","0x00000004","0x00001343","0x00000004","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"30","2.046254000","192.168.40.135","192.168.40.134","39512","31000","0x0000ff40","0x00000005","0x00001343","0x00000005","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"31","2.052063000","192.168.40.134","192.168.40.135","31000","39512","0x0000ff40","0x00000005","0x00001343","0x00000005","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"32","2.057344000","192.168.40.135","192.168.40.134","39512","31000","0x0000ff40","0x00000006","0x00001343","0x00000006","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"33","2.063403000","192.168.40.134","192.168.40.135","31000","39512","0x0000ff40","0x00000006","0x00001343","0x00000006","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"34","2.068830000","192.168.40.135","192.168.40.134","39512","31000","0x0000ff40","0x00000007","0x00001343","0x00000007","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"35","2.074599000","192.168.40.134","192.168.40.135","31000","39512","0x0000ff40","0x00000007","0x00001343","0x00000007","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"36","2.080066000","192.168.40.135","192.168.40.134","39512","31000","0x0000ff40","0x00000008","0x00001343","0x00000008","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"37","2.085841000","192.168.40.134","192.168.40.135","31000","39512","0x0000ff40","0x00000008","0x00001343","0x00000008","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"38","2.091320000","192.168.40.135","192.168.40.134","39512","31000","0x0000ff40","0x00000009","0x00001343","0x00000009","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"39","2.097039000","192.168.40.134","192.168.40.135","31000","39512","0x0000ff40","0x00000009","0x00001343","0x00000009","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"40","2.102545000","192.168.40.135","192.168.40.134","39512","31000","0x0000ff40","0x0000000b","0x00001343","0x0000000a","0x00000000","0x00000000",
