candidate_index,trial_index,setter_method_id,getter_method_id,setter_payload_hex,expected_after_payload_hex,before_retcode,before_payload_hex,setter_retcode,setter_verdict,after_retcode,after_payload_hex,state_changed,target_state_reached,latency_ms,error
1,1,10,9,0000000701000100010001,0000000701000100010001,0x00,0000000701000100010001,0x00,normal_response,0x00,0000000701000100010001,False,True,20.469,
1,2,10,9,0000000701000100010001,0000000701000100010001,0x00,0000000701000100010001,0x00,normal_response,0x00,0000000701000100010001,False,True,20.569,
1,3,10,9,0000000701000100010001,0000000701000100010001,0x00,0000000701000100010001,0x00,normal_response,0x00,0000000701000100010001,False,True,20.637,
1,4,10,9,0000000701000100010001,0000000701000100010001,0x00,0000000701000100010001,0x00,normal_response,0x00,0000000701000100010001,False,True,20.170,
1,5,10,9,0000000701000100010001,0000000701000100010001,0x00,0000000701000100010001,0x00,normal_response,0x00,0000000701000100010001,False,True,20.041,
1,6,10,9,0000000701000100010001,0000000701000100010001,0x00,0000000701000100010001,0x00,normal_response,0x00,0000000701000100010001,False,True,21.417,
1,7,10,9,0000000701000100010001,0000000701000100010001,0x00,0000000701000100010001,0x00,normal_response,0x00,0000000701000100010001,False,True,19.917,
1,8,10,9,0000000701000100010001,0000000701000100010001,0x00,0000000701000100010001,0x00,normal_response,0x00,0000000701000100010001,False,True,20.383,
1,9,10,9,0000000701000100010001,0000000701000100010001,0x00,0000000701000100010001,0x00,normal_response,0x00,0000000701000100010001,False,True,20.507,
1,10,10,9,0000000701000100010001,0000000701000100010001,0x00,0000000701000100010001,0x00,normal_response,0x00,0000000701000100010001,False,True,20.267,
2,1,12,11,0000000701020300010203,0000000701020300010203,0x00,0000000701020300010203,0x00,normal_response,0x00,0000000701020300010203,False,True,22.044,
2,2,12,11,0000000701020300010203,0000000701020300010203,0x00,0000000701020300010203,0x00,normal_response,0x00,0000000701020300010203,False,True,20.553,
2,3,12,11,0000000701020300010203,0000000701020300010203,0x00,0000000701020300010203,0x00,normal_response,0x00,0000000701020300010203,False,True,37.185,
2,4,12,11,0000000701020300010203,0000000701020300010203,0x00,0000000701020300010203,0x00,normal_response,0x00,0000000701020300010203,False,True,23.699,
2,5,12,11,0000000701020300010203,0000000701020300010203,0x00,0000000701020300010203,0x00,normal_response,0x00,0000000701020300010203,False,True,23.063,
2,6,12,11,0000000701020300010203,0000000701020300010203,0x00,0000000701020300010203,0x00,normal_response,0x00,0000000701020300010203,False,True,21.956,
2,7,12,11,0000000701020300010203,0000000701020300010203,0x00,0000000701020300010203,0x00,normal_response,0x00,0000000701020300010203,False,True,20.324,
2,8,12,11,0000000701020300010203,0000000701020300010203,0x00,0000000701020300010203,0x00,normal_response,0x00,0000000701020300010203,False,True,19.799,
2,9,12,11,0000000701020300010203,0000000701020300010203,0x00,0000000701020300010203,0x00,normal_response,0x00,0000000701020300010203,False,True,19.860,
2,10,12,11,0000000701020300010203,0000000701020300010203,0x00,0000000701020300010203,0x00,normal_response,0x00,0000000701020300010203,False,True,19.943,
