timestamp,thread_index,test_id,mode,target_field,target_value,req_service_id,req_method_id,req_session_id,response_received,response_time_ms,rsp_method_id,rsp_session_id,rsp_client_id,rsp_msg_type,rsp_retcode,verdict
12:31:49.909,0,1,fuzz,method_id,1,0xff40,0x0001,0x0010,True,66.94,0x0001,0x0010,0x1343,0x80,0x00,normal_response
12:31:50.969,0,2,fuzz,method_id,2,0xff40,0x0002,0x0011,True,55.18,0x0002,0x0011,0x1343,0x80,0x00,normal_response
12:31:52.013,0,3,fuzz,method_id,3,0xff40,0x0003,0x0012,True,40.10,0x0003,0x0012,0x1343,0x80,0x00,normal_response
12:31:53.085,0,4,fuzz,method_id,4,0xff40,0x0004,0x0013,True,67.88,0x0004,0x0013,0x1343,0x80,0x00,normal_response
12:31:54.133,0,5,fuzz,method_id,5,0xff40,0x0005,0x0014,True,45.29,0x0005,0x0014,0x1343,0x80,0x00,normal_response
12:31:55.185,0,6,fuzz,method_id,6,0xff40,0x0006,0x0015,True,49.49,0x0006,0x0015,0x1343,0x80,0x00,normal_response
12:31:56.237,0,7,fuzz,method_id,7,0xff40,0x0007,0x0016,True,47.30,0x0007,0x0016,0x1343,0x80,0x00,normal_response
12:31:57.285,0,8,fuzz,method_id,8,0xff40,0x0008,0x0017,True,45.44,0x0008,0x0017,0x1343,0x80,0x00,normal_response
12:31:58.329,0,9,fuzz,method_id,9,0xff40,0x0009,0x0018,True,40.96,0x0009,0x0018,0x1343,0x80,0x00,normal_response
12:31:59.385,0,10,fuzz,method_id,11,0xff40,0x000b,0x0019,True,53.17,0x000b,0x0019,0x1343,0x80,0x00,normal_response
12:32:00.441,0,11,fuzz,method_id,0,0xff40,0x0000,0x001a,True,51.47,0x0000,0x001a,0x1343,0x81,0x03,error_response
12:32:01.481,0,12,fuzz,method_id,10,0xff40,0x000a,0x001b,True,37.74,0x000a,0x001b,0x1343,0x81,0x09,error_response
12:32:02.533,0,13,fuzz,method_id,12,0xff40,0x000c,0x001c,True,47.45,0x000c,0x001c,0x1343,0x81,0x09,error_response
12:32:03.577,0,14,fuzz,method_id,13,0xff40,0x000d,0x001d,True,38.99,0x000d,0x001d,0x1343,0x80,0x00,normal_response
12:32:04.621,0,15,fuzz,method_id,255,0xff40,0x00ff,0x001e,True,39.19,0x00ff,0x001e,0x1343,0x81,0x03,error_response
12:32:05.677,0,16,fuzz,method_id,256,0xff40,0x0100,0x001f,True,50.83,0x0100,0x001f,0x1343,0x81,0x03,error_response
12:32:06.729,0,17,fuzz,method_id,1024,0xff40,0x0400,0x0020,True,49.61,0x0400,0x0020,0x1343,0x81,0x03,error_response
12:32:07.789,0,18,fuzz,method_id,32767,0xff40,0x7fff,0x0021,True,57.16,0x7fff,0x0021,0x1343,0x81,0x03,error_response
12:32:08.833,0,19,fuzz,method_id,65535,0xff40,0xffff,0x0022,True,41.36,0x7fff,0x0022,0x1343,0x81,0x03,error_response
