frame.number,ip.src,udp.srcport,ip.dst,udp.dstport,someip.serviceid,someip.methodid,someip.clientid,someip.sessionid,someip.messagetype,someip.returncode,someip.payload
1,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x00000009,0x00001343,0x00005000,0x00000000,0x00000000,
2,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x00000009,0x00001343,0x00005000,0x00000080,0x00000000,00000000
3,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000a,0x00001343,0x00005001,0x00000000,0x00000000,0000000701000100010001
4,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000a,0x00001343,0x00005001,0x00000080,0x00000000,0000000701000100010001
5,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x00000009,0x00001343,0x00005002,0x00000000,0x00000000,
6,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x00000009,0x00001343,0x00005002,0x00000080,0x00000000,0000000701000100010001
7,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x00000009,0x00001343,0x00005003,0x00000000,0x00000000,
8,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x00000009,0x00001343,0x00005003,0x00000080,0x00000000,0000000701000100010001
9,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000a,0x00001343,0x00005004,0x00000000,0x00000000,0000000701000100010001
10,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000a,0x00001343,0x00005004,0x00000080,0x00000000,0000000701000100010001
11,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x00000009,0x00001343,0x00005005,0x00000000,0x00000000,
12,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x00000009,0x00001343,0x00005005,0x00000080,0x00000000,0000000701000100010001
13,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x00000009,0x00001343,0x00005006,0x00000000,0x00000000,
14,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x00000009,0x00001343,0x00005006,0x00000080,0x00000000,0000000701000100010001
15,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000a,0x00001343,0x00005007,0x00000000,0x00000000,0000000701000100010001
16,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000a,0x00001343,0x00005007,0x00000080,0x00000000,0000000701000100010001
17,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x00000009,0x00001343,0x00005008,0x00000000,0x00000000,
18,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x00000009,0x00001343,0x00005008,0x00000080,0x00000000,0000000701000100010001
19,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x00000009,0x00001343,0x00005009,0x00000000,0x00000000,
20,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x00000009,0x00001343,0x00005009,0x00000080,0x00000000,0000000701000100010001
21,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000a,0x00001343,0x0000500a,0x00000000,0x00000000,0000000701000100010001
22,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000a,0x00001343,0x0000500a,0x00000080,0x00000000,0000000701000100010001
23,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x00000009,0x00001343,0x0000500b,0x00000000,0x00000000,
24,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x00000009,0x00001343,0x0000500b,0x00000080,0x00000000,0000000701000100010001
25,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x00000009,0x00001343,0x0000500c,0x00000000,0x00000000,
26,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x00000009,0x00001343,0x0000500c,0x00000080,0x00000000,0000000701000100010001
27,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000a,0x00001343,0x0000500d,0x00000000,0x00000000,0000000701000100010001
28,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000a,0x00001343,0x0000500d,0x00000080,0x00000000,0000000701000100010001
29,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x00000009,0x00001343,0x0000500e,0x00000000,0x00000000,
30,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x00000009,0x00001343,0x0000500e,0x00000080,0x00000000,0000000701000100010001
31,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x00000009,0x00001343,0x0000500f,0x00000000,0x00000000,
32,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x00000009,0x00001343,0x0000500f,0x00000080,0x00000000,0000000701000100010001
33,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000a,0x00001343,0x00005010,0x00000000,0x00000000,0000000701000100010001
34,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000a,0x00001343,0x00005010,0x00000080,0x00000000,0000000701000100010001
35,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x00000009,0x00001343,0x00005011,0x00000000,0x00000000,
36,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x00000009,0x00001343,0x00005011,0x00000080,0x00000000,0000000701000100010001
37,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x00000009,0x00001343,0x00005012,0x00000000,0x00000000,
38,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x00000009,0x00001343,0x00005012,0x00000080,0x00000000,0000000701000100010001
39,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x0000000a,0x00001343,0x00005013,0x00000000,0x00000000,0000000701000100010001
40,192.168.40.134,31000,192.168.40.135,58423,0x0000ff40,0x0000000a,0x00001343,0x00005013,0x00000080,0x00000000,0000000701000100010001
41,192.168.40.135,58423,192.168.40.134,31000,0x0000ff40,0x00000009,0x00001343,0x00005014,0x00000000,0x00000000,
